date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:34	88147/88147	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2004:08:37%20GMT	https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/course/index2d19.html	(from )
09:38:34	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20May%202021%2004:08:38%20GMT	https://demo.createdbycocoon.com/robots.txt		(from )
09:38:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:38%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/yui_combo.14bf2.delayed	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:39%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/bootstrap.min.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/bootstrap.min.css	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:35	3657/3657	---MCZ	200	added ('OK')	text/css	etag:%229b9cbb79c1192e9cb56160269e7434e0ac649341%22	https://demo.createdbycocoon.com/moodle/edumy/2/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/combo4bf2	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:39%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/cocoon.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/cocoon.css	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:36	155203/155203	---MCZ	200	added ('OK')	text/css	etag:%2225e43-5b1b95fd5f9b0%22	https://demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/bootstrap.min.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/bootstrap.min.css	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:39%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/responsive.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/responsive.css	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:36	310502/310502	---MCZ	200	added ('OK')	text/css	etag:%224bce6-5b1b95fe11570%22	https://demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/cocoon.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/cocoon.css	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
09:38:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20May%202021%2004:08:40%20GMT	http://demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/cocoon-mdl.css	C:/Users/Lenovo/Desktop/Edumy/demo.createdbycocoon.com/moodle/edumy/2/theme/edumy/style/cocoon-mdl.css	(from https://demo.createdbycocoon.com/moodle/edumy/2/course/index.php?categoryid=4)
