date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:38	69701/69701	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:06%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html	(from )
10:52:40	79/79	---MCZ	200	added ('OK')	text/plain	etag:W/%2231a4870-71-59fa2539efd00%22	https://www.okler.net/robots.txt		(from )
10:52:41	199412/199412	---MCZ	200	added ('OK')	text/css	etag:W/%2231c5032-30af4-5ba6e608e4046%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/bootstrap/css/bootstrap.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/bootstrap/css/bootstrap.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:42	70607/70607	---MCZ	200	added ('OK')	text/css	etag:W/%2231c4e96-113cf-5ba6e5ae6c712%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/animate/animate.compat.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/animate/animate.compat.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:44	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2231c5130-e7d0-5ba6e639cf074%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/font-awesome/css/all.min.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/font-awesome/css/all.min.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:45	63235/63235	---MCZ	200	added ('OK')	text/css	etag:W/%2231c50b6-f703-5ba6e622768d8%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/boxicons/css/boxicons.min.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/boxicons/css/boxicons.min.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:46	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2231c4f1b-1b27-5ba6e5d2811fc%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/magnific-popup/magnific-popup.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/magnific-popup/magnific-popup.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:46	21092/21092	---MCZ	200	added ('OK')	text/css	etag:W/%2231c504d-5933-5ba6e61276e8c%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:48	438113/438113	---MCZ	200	added ('OK')	text/css	etag:W/%2231c4e6b-6af61-5ba6e5a4e1d9c%22	https://www.okler.net/previews/porto-admin/3.1.0/css/theme.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/css/theme.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:48	43/43	---M--	200	added ('OK')	text/css	etag:%2231c4e6c-2b-5ba6e5a425dd7%22	https://www.okler.net/previews/porto-admin/3.1.0/css/custom.css	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/css/custom.css	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:49	18554/18554	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231c4f22-487a-5ba6e5d43bbe9%22	https://www.okler.net/previews/porto-admin/3.1.0/vendor/modernizr/modernizr.js	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/vendor/modernizr/modernizr.js	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:50	2300/2300	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231c5027-8fc-5ba6e60697e41%22	https://www.okler.net/previews/porto-admin/3.1.0/master/style-switcher/style.switcher.localstorage.js	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/master/style-switcher/style.switcher.localstorage.js	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:51	6657/6657	---M--	200	added ('OK')	image/png	etag:%2231c4e8b-1a01-5ba6e5aace6e1%22	https://www.okler.net/previews/porto-admin/3.1.0/img/logo.png	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/img/logo.png	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:52	13921/13921	---M--	200	added ('OK')	image/jpeg	etag:%2231c4e79-3661-5ba6e5a884bec%22	https://www.okler.net/previews/porto-admin/3.1.0/img/!sample-user.jpg	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/img/!sample-user.jpg	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:54	74289/74289	---M--	200	added ('OK')	image/jpeg	etag:%2231c4e78-12231-5ba6e5a8d6497%22	https://www.okler.net/previews/porto-admin/3.1.0/img/!logged-user.jpg	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/img/!logged-user.jpg	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:54	5448/5448	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:06%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/pages-signin.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/pages-signin.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:56	86687/86687	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:11%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/layouts-default.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/layouts-default.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:52:57	112481/112481	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-dashboard.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-dashboard.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:00	104912/104912	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:13%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-products-list.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-products-list.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:01	101968/101968	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:13%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-products-form.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-products-form.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:02	97745/97745	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-category-list.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-category-list.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:04	90726/90726	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-category-form.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-category-form.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:05	99607/99607	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-coupons-list.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-coupons-list.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:06	97687/97687	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-coupons-form.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-coupons-form.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:08	98450/98450	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:13%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-orders-list.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-orders-list.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:09	97629/97629	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:13%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-orders-detail.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-orders-detail.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:10	99269/99269	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-customers-list.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-customers-list.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:12	99624/99624	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:14%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/ecommerce-customers-form.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/ecommerce-customers-form.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:13	76224/76224	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:08%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/mailbox-folder.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/mailbox-folder.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:15	116417/116417	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2016:31:23%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/index.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/index.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:16	117448/117448	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:10%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/layouts-modern.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/layouts-modern.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:17	86801/86801	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:11%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/layouts-boxed.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/layouts-boxed.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:19	86812/86812	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:12%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/layouts-boxed-fixed-header.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/layouts-boxed-fixed-header.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
10:53:20	77706/77706	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Feb%202021%2013:35:11%20GMT	https://www.okler.net/previews/porto-admin/3.1.0/layouts-header-menu.html	C:/Users/Lenovo/Desktop/PortoAdmin/www.okler.net/previews/porto-admin/3.1.0/layouts-header-menu.html	(from https://www.okler.net/previews/porto-admin/3.1.0/pages-user-profile.html)
